,Unnamed: 0,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수,EPS,PER,BPS,PBR,ROA,주당배당금,배당수익률,종목수익률,Unnamed: 22,Unnamed: 23,종목명.1
683,52690,52690,한전기술,"37,850",-800,-2.1,"38,900","38,900","37,850","150,177","5,710,892,950","1,446,627,000,000",0.11,"38,220,000","1,439",26.3,"10,652",3.55,0.135092002,575,1.52,16.52314815,,,
686,55550,55550,신한지주,"41,900",950,2.3,"41,000","41,900","40,500","1,575,045","65,684,426,350","19,868,962,695,300",1.51,"474,199,587","4,195",9.99,"60,136",0.7,0.069758547,950,2.27,9.169902913,,,
693,60980,60980,한라홀딩스,"68,400","1,600",2.4,"67,800","69,200","66,600","95,133","6,477,112,200","738,904,064,400",0.06,"10,802,691","73,032",0.94,"84,839",0.81,0.860830514,500,0.73,-0.493333333,,,
695,64350,64350,현대로템,"20,450",450,2.2,"20,050","20,450","19,950","366,157","7,415,436,300","1,738,250,000,000",0.13,"85,000,000",-,-,"19,541",1.05,0,0,0,0.114441417,,,
696,64960,64960,S&T모티브,"65,700",800,1.2,"64,100","65,700","64,100","53,452","3,477,815,200","946,302,460,200",0.07,"14,403,386","4,371",15.03,"40,062",1.64,0.109105886,800,1.22,7.021978022,,,
697,66570,66570,LG전자,"55,300",-800,-1.4,"56,000","56,100","55,300","809,294","44,942,928,600","9,049,724,114,200",0.69,"163,647,814","2,213",24.99,"64,808",0.85,0.034147019,400,0.72,0.242696629,,,
702,68870,68870,LG생명과학,"59,100",-800,-1.3,"60,500","62,000","58,900","320,055","19,344,582,000","979,700,109,000",0.07,"16,576,990",-,-,"14,817",3.99,0,0,0,19.23972603,,,
704,69260,69260,휴켐스,"26,000",600,2.4,"25,300","26,250","25,150","106,598","2,766,847,300","1,062,843,288,000",0.08,"40,878,588","1,030",25.24,"11,525",2.26,0.089370933,550,2.12,-0.623188406,,,
706,69620,69620,대웅제약,"92,200","-1,400",-1.5,"93,900","99,800","90,500","356,997","33,538,761,600","1,068,282,215,000",0.08,"11,586,575","3,056",30.17,"38,241",2.41,0.079914228,700,0.76,3.633165829,,,
709,69960,69960,현대백화점,"153,000","-5,000",-3.2,"156,000","161,000","151,500","93,540","14,469,533,000","3,580,573,473,000",0.27,"23,402,441","11,652",13.13,"138,633",1.1,0.084049252,700,0.46,4.614678899,,,
710,71050,71050,한국금융지주,"66,400",-600,-0.9,"65,500","67,800","65,400","149,093","9,909,202,600","3,700,205,868,800",0.28,"55,725,992","4,090",16.23,"46,435",1.43,0.088080112,700,1.05,10.27334465,,,
719,73240,73240,금호타이어,"8,170",80,1,"8,060","8,210","8,040","1,108,552","8,971,905,690","1,290,804,100,860",0.1,"157,993,158",860,9.5,"7,652",1.07,0.112388918,0,0,1.553125,,,
725,78520,78520,에이블씨엔씨,"24,500",-100,-0.4,"24,750","25,200","23,750","239,332","5,841,407,700","343,089,229,000",0.03,"14,003,642",205,119.51,"13,297",1.84,0.015417011,10,0.04,-0.620743034,,,
726,78930,78930,GS,"49,600","-1,000",-2,"50,200","51,300","49,600","431,755","21,547,560,800","4,608,602,748,800",0.35,"92,915,378",-,-,"62,374",0.8,0,"1,200",2.42,23.98740554,,,
729,79430,79430,현대리바트,"43,950","-1,850",-4,"46,050","46,500","43,950","308,998","13,980,727,600","758,649,517,500",0.06,"17,261,650","1,600",27.47,"12,682",3.47,0.126163066,80,0.18,-0.589252336,,,
731,79980,79980,휴비스,"10,750",0,0,"10,700","10,850","10,650","113,990","1,228,324,800","370,875,000,000",0.03,"34,500,000",852,12.62,"10,984",0.98,0.077567371,300,2.79,12.4375,,,
735,82740,82740,두산엔진,"5,800",-20,-0.3,"5,750","5,970","5,750","241,203","1,408,003,840","403,100,000,000",0.03,"69,500,000",-,-,"10,082",0.58,0,0,0,-0.510548523,,,
753,90430,84870,베이직하우스,"17,250",-950,-5.2,"17,900","18,000","17,250","308,215","5,421,980,000","359,780,127,750",0.03,"20,856,819","5,497",73.49,"41,432",9.75,0.132675227,900,0.22,2.639240506,,,
755,91090,86280,현대글로비스,"250,500","6,500",2.7,"242,000","251,500","240,000","220,946","54,649,150,000","9,393,750,000,000",0.71,"37,500,000",-,-,"2,020",2.25,0,0,0,51.95983087,,,
756,92200,86790,하나금융지주,"29,700",100,0.3,"29,350","29,900","29,350","743,626","22,096,189,900","8,791,290,941,400",0.67,"296,003,062",6,881.67,"6,429",0.82,0.000933271,0,0,5.265822785,,,
757,92220,88350,한화생명,"8,250",40,0.5,"8,110","8,300","8,110","1,128,482","9,286,240,740","7,165,372,500,000",0.54,"868,530,000",89,16.07,"2,490",0.57,0.035742972,0,0,0.805251641,,,
765,95720,90430,아모레퍼시픽,"404,000","4,000",1,"399,000","419,000","399,000","302,037","123,359,024,500","23,617,229,960,000",1.79,"58,458,490",355,30.85,"6,979",1.57,0.050866886,0,0,69.62937063,,,
777,102260,93050,LF,"31,150",-650,-2,"31,800","32,150","31,150","109,229","3,452,227,450","910,826,000,000",0.07,"29,240,000",203,40.2,"5,603",1.46,0.036230591,170,2.08,3.412181303,,,
780,103130,93370,후성,"3,920",-20,-0.5,"3,940","3,970","3,770","977,382","3,766,635,265","332,509,895,760",0.03,"84,823,953",-,-,970,1.49,0,0,0,-0.414925373,,,
786,105560,96770,SK이노베이션,"112,500","1,500",1.4,"111,000","115,500","111,000","606,091","68,628,701,500","10,402,375,950,000",0.79,"92,465,564","3,626",11.1,"70,700",0.57,0.051287129,780,1.94,22.88535032,,,
788,105840,97230,한진중공업,"5,520",20,0.4,"5,490","5,690","5,450","560,771","3,101,366,320","564,632,326,800",0.04,"102,288,465",108,73.15,"5,775",1.37,0.018701299,170,2.15,0.2,,,
789,107590,97950,CJ제일제당,"410,000","-8,500",-2,"415,000","423,000","410,000","56,305","23,203,684,500","5,386,702,180,000",0.41,"13,138,298","36,340",8.05,"238,029",1.23,0.152670473,"2,500",0.85,146.7477477,,,
802,120030,103140,풍산,"31,250",900,3,"30,350","31,250","30,050","230,395","7,117,945,950","875,758,687,500",0.07,"28,024,278","10,425",7.65,"48,385",1.65,0.215459337,0,0,47.22530864,,,
