,종목코드,종목명,시장구분,산업분류,현재가.종가.,전일대비,시가총액.원.,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,factor,1y_수익률
1110,033340,좋은사람들,코스닥,섬유·의류,3530,-100,"105,576,030,720",3530,115,30.7,"2,434",1.45,0,0,,-12.484%
1111,264900,크라운제과,코스피,음식료품,8420,-240,"105,450,817,000",8420,"1,029",8.18,"9,640",0.87,250,2.97,,-16.400%
1112,012800,대창,코스피,철강금속,1155,-35,"105,267,276,345",1155,128,9.02,"2,013",0.57,30,2.6,,23.411%
1113,009320,대우부품,코스피,운수장비,2205,-85,"105,060,256,875",2205,24,91.88,825,2.67,0,0,,36.335%
1114,091580,상신이디피,코스닥,IT H/W,8290,-180,"104,993,264,500",8290,701,11.83,"4,533",1.83,70,0.84,,-46.326%
1115,001840,이화공영,코스닥,건설,5290,-200,"104,772,470,400",5290,24,220.42,"2,164",2.44,20,0.38,,-20.891%
1116,019660,글로본,코스닥,유통,3600,-20,"104,699,289,600",3600,62,58.06,"1,000",3.6,0,0,,-14.022%
1117,290720,푸드나무,코스닥,유통,15350,-550,"104,472,621,900",15350,"1,058",14.51,"7,046",2.18,100,0.65,,-34.322%
1118,005110,한창,코스피,유통업,3000,-415,"104,370,807,000",3000,-,-,905,3.31,0,0,,121.053%
1119,066980,브레인콘텐츠,코스닥,IT S/W & SVC,658,-7,"104,239,228,898",658,-,-,640,1.03,0,0,,-26.177%
1120,009300,삼아제약,코스닥,제약,16350,-450,"104,149,500,000",16350,"1,442",11.34,"25,259",0.65,250,1.53,,-3.333%
1121,226360,이엑스티,코스닥,건설,3540,-160,"103,906,168,500",3540,120,29.5,"1,472",2.4,60,1.69,,58.333%
1122,005870,휴니드,코스피,전기전자,7360,290,"103,893,870,400",7360,"1,590",4.63,"7,710",0.95,0,0,,-11.634%
1123,238200,비피도,코스닥,음식료·담배,25400,-100,"103,886,000,000",25400,345,73.62,"10,936",2.32,0,0,,-
1124,109610,에스와이,코스닥,금속,4140,-145,"103,290,288,300",4140,60,69,"4,478",0.92,0,0,,-22.547%
1125,060370,KT서브마린,코스닥,건설,4715,510,"103,258,500,000",4715,-,-,"4,712",1,30,0.64,,51.101%
1126,026940,부국철강,코스피,철강금속,5150,200,"103,000,000,000",5150,104,49.52,"5,615",0.92,75,1.46,,69.257%
1127,079940,가비아,코스닥,IT S/W & SVC,7600,-10,"102,871,198,400",7600,576,13.19,"4,640",1.64,30,0.39,,12.423%
1128,016100,리더스코스메틱,코스닥,화학,5650,-130,"102,758,889,100",5650,-,-,"4,203",1.34,0,0,,-55.118%
1129,025440,대성엘텍,코스닥,일반전기전자,1030,-45,"102,651,183,290",1030,-,-,436,2.36,0,0,,39.082%
1130,120030,조선선재,코스피,기계,81600,-400,"102,624,321,600",81600,"10,397",7.85,"81,594",1,1500,1.84,,7.229%
1131,000650,천일고속,코스피,운수창고업,71700,0,"102,475,074,000",71700,-,-,"43,299",1.66,6000,8.37,,-13.718%
1132,196450,디오스텍,코스닥,의료·정밀기기,753,-11,"102,385,963,455",753,-,-,445,1.69,0,0,,0.278%
1133,055490,테이팩스,코스피,화학,21700,0,"102,373,005,000",21700,"1,081",20.07,"19,740",1.1,0,0,,10.336%
1134,071970,STX중공업,코스피,기계,3645,350,"102,357,909,495",3645,-,-,"5,479",0.67,0,0,,-81.067%
1135,198440,고려시멘트,코스닥,비금속,3190,-155,"102,016,072,400",3190,149,21.41,"2,705",1.18,35,1.1,,35.745%
1136,039340,한국경제TV,코스닥,통신방송서비스,4435,-160,"102,005,000,000",4435,645,6.88,"4,737",0.94,100,2.25,,24.891%
1137,010600,웰바이오텍,코스피,유통업,2365,-40,"101,718,900,690",2365,-,-,"2,020",1.17,0,0,,-67.847%
1138,100220,비상교육,코스피,서비스업,7800,-210,"101,374,579,800",7800,199,39.2,"15,926",0.49,200,2.56,low_vol,6.061%
1139,001070,대한방직,코스피,섬유의복,19100,-100,"101,230,000,000",19100,"3,024",6.32,"33,400",0.57,300,1.57,,53.386%
1140,001750,한양증권,코스피,금융업,7950,-30,"101,191,845,300",7950,355,22.39,"20,361",0.39,250,3.14,,15.043%
1141,256630,포인트엔지니어링,코스닥,금속,1870,-75,"101,081,329,690",1870,-,-,-,-,0,0,,-17.032%
1142,115440,우리넷,코스닥,IT H/W,11050,-400,"100,963,231,200",11050,293,37.71,"8,395",1.32,100,0.9,,89.142%
1143,099750,이지케어텍,코스닥,출판·매체복제,15800,-950,"100,898,800,000",15800,773,20.44,"7,219",2.19,86,0.54,,#N/A
1144,031820,콤텍시스템,코스피,서비스업,1485,-35,"100,759,427,010",1485,135,11,"1,450",1.02,0,0,,38.815%
1145,071460,위니아딤채,코스닥,일반전기전자,2800,-115,"100,708,426,000",2800,-,-,"1,995",1.4,0,0,,23.146%
1146,032560,황금에스티,코스피,철강금속,7190,-110,"100,660,000,000",7190,"1,038",6.93,"16,519",0.44,50,0.7,,#N/A
1147,014100,보령메디앙스,코스닥,화학,8510,0,"100,418,000,000",8510,275,30.95,"4,229",2.01,0,0,,-14.433%
1148,065510,휴비츠,코스닥,의료·정밀기기,8450,-70,"100,410,259,950",8450,611,13.83,"7,061",1.2,150,1.78,,-9.181%
1149,033530,세종공업,코스피,운수장비,4450,-130,"100,367,133,400",4450,-,-,"17,522",0.25,50,1.12,,#N/A
1150,060230,이그잭스,코스닥,IT H/W,1405,-100,"100,336,671,405",1405,-,-,640,2.2,0,0,,-16.389%
1151,013310,아진산업,코스닥,운송장비·부품,2795,-20,"100,335,077,700",2795,-,-,"5,676",0.49,0,0,,#N/A
1152,053350,이니텍,코스닥,IT S/W & SVC,5060,-130,"100,142,034,960",5060,-,-,"6,261",0.81,20,0.4,,-16.066%
1153,004450,삼화왕관,코스피,기계,46400,150,"99,963,185,600",46400,"5,327",8.71,"64,479",0.72,1350,2.91,,9.368%
1154,289010,아이스크림에듀,코스닥,출판·매체복제,7910,-30,"99,961,604,610",7910,990,7.99,"4,349",1.82,0,0,,#N/A
1155,086960,한컴MDS,코스닥,IT S/W & SVC,11300,-200,"99,763,270,400",11300,733,15.42,"12,218",0.92,250,2.21,,#N/A
1156,109070,컨버즈,코스피,종이목재,3260,0,"99,705,111,400",3260,-,-,275,11.85,0,0,,-54.213%
1157,011150,CJ씨푸드,코스피,음식료품,2770,-145,"99,528,241,210",2770,60,46.17,"1,710",1.62,0,0,,#N/A
1158,196490,디에이테크놀로지,코스닥,기계·장비,1835,-85,"99,518,105,500",1835,-,-,"1,608",1.14,0,0,,#N/A
1159,067000,조이시티,코스닥,IT S/W & SVC,8440,-100,"99,451,853,800",8440,-,-,"2,257",3.74,0,0,,-36.250%
1160,225330,씨엠에스에듀,코스닥,기타서비스,5330,-60,"99,322,567,240",5330,282,18.9,"2,196",2.43,260,4.88,low_vol,-25.910%
